公司名稱,職缺內容,工作內容,地址,工作經歷,學歷,薪資,網址
聽儷科技股份有限公司,Data Analyst (數據分析師),"['  能力需求', '', '•\t作為數據分析師或相關領域的工作經驗1年以上工作經驗，或相關領域碩士學歷', '•\t具備優秀的溝通意識，良好的現場表達能力、邏輯清晰', '•\t具備溝通能力，能把事情表達清楚，樂意與人共事與溝通', '•\t熟悉數據平台的整體搭建，熟練使用 SQL /']",台北市中正區,1年以上,專科,"月薪33,000~48,000元",www.104.com.tw/job/7a7nd?jobsource=jolist_c_relevance
凡谷興業有限公司,數據分析師,"['1.發現問題、發揮數據價值為導向，能深入理解內部需求與痛點，確定問題與目標，並給予有效的數據解決方案。', '2.協助內部完成多維度指標體系的梳理和建設，並能完成數據管理、分析與應用全流程工作，必要時需要跨部門合作。', '3.對於數據與分析具有熱情。調動公']",台中市南屯區,經歷不拘,大學,待遇面議,www.104.com.tw/job/79nah?jobsource=jolist_c_relevance
OB嚴選_橘熊科技股份有限公司,數據分析師-營運長室,"['1.數據相關專案規劃、管理與執行。', '2.因應公司戰略營運方針進行相關規劃及與跨部門溝通協調達成目標。', '3.以數據之規劃與管理進行電子商務運營及行銷專案整合，及跨境電商運營規劃與執行。', '4.用數據驅動的方式發展出貼近業務需求的分析模組，並將數據自動']",台北市南港區,3年以上,大學,待遇面議,www.104.com.tw/job/703rp?jobsource=jolist_c_relevance
雲端行動科技股份有限公司,商業數據分析師,"['1.巨量資料前置處理及分析，洞悉商情及產業脈絡。', '2.提供各產業商家行銷或廣告建議。', '3.協助目標客戶進行產品或服務之競爭力分析。', '4.藉數據分析開發並建立消費行為預測模型。', '5.行銷及廣告成效分析。']",台北市大同區,1年以上,碩士,"年薪700,000~910,000元",www.104.com.tw/job/6sg76?jobsource=jolist_c_relevance
復煜生物科技有限公司,商業資料分析師/數據分析師,"['', ' 2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助公司進行數據處理(清洗、ETL、標籤、特徵提取等)。', ' 3. 依據數據處理與分析需求，建構數據模型，視實際情況調整並優化模型與流程。', ' 4. 進行各種數據追蹤和分析，針對商業問題提供']",台南市東區,3年以上,大學,待遇面議,www.104.com.tw/job/79ck3?jobsource=jolist_c_relevance
智眾有限公司,數據分析師,"['1. 善用數據來支持論點並提出見解，並使數據視覺化，有效與主管匯報與共同討論、設計和追蹤預測目標項目\r', '2. 具備區塊鏈錢包運營的理論基礎，有實際經驗尤佳，透過數據庫進行用戶行為分析，並具備挖掘潛在的用戶價值\r', '3. 具備Google']",台北市大安區,經歷不拘,學歷不拘,"月薪40,000~60,000元",www.104.com.tw/job/793ta?jobsource=jolist_c_relevance
SoundOn Podcast_聲浪媒體科技股份有限公司,數據分析師 Data Analyst,"['1.分析用戶的行為模式、預測將來的趨勢，以給予產品團隊建議、使產品成長', '2. 透過數據找到問題、提供分析結果，並做消費者行為分析', '3. 設計以及評估任何產品分析方案，例如A/B testing的執行方案及驗證方向', '4. 數據探勘及數據研究報告撰寫']",台北市大安區,3年以上,專科,"月薪40,000~75,000元",www.104.com.tw/job/7853c?jobsource=jolist_c_relevance
台盈資訊科技有限公司,大數據分析師,"['1. 分析財務資料、協助訂立指標來評估營運成效。', '2. 協助各部門建立報表、儀表板以協助追蹤 KPI 表現。', '3. 數據視覺化報表產出，製作相關簡報資料，提供給業主。', '4. 設計建立預測工具。', '5. Tableau或Tableau Prep使用能']",台北市松山區,3年以上,專科,待遇面議,www.104.com.tw/job/77ynk?jobsource=jolist_c_relevance
DECATHLON法商迪卡儂_台灣迪卡儂有限公司,[電子商務部] 數據分析師 Data Analyst,"['1.根據數據發現業務提升點、發揮數據價值導向，深入了解各平台廣告投放規則，給予有效的運營類數據投放方案', '2.運營數據採集、管理、分析與應用', '3.調動公司內部資源，實現Data Transformation', '4.結合行業經驗與方法論，提供專業的分析']",台中市南屯區,1年以上,大學,待遇面議,www.104.com.tw/job/76sjb?jobsource=jolist_c_relevance
奕特資訊有限公司,大數據分析師,"['1. 設計數據可視化的方法，讓客戶能夠更輕易的理解數據所帶來的含意。同時編寫用戶使用手冊，解釋您的設計理念，應用場景與使用方法。', '2. 協助部門內的工程師理解統計公式並完成交辦的統計型計算任務。', '3. 統籌並執行統計量相關的測試工作，確保在不同場']",台北市內湖區,經歷不拘,大學,待遇面議,www.104.com.tw/job/76f27?jobsource=jolist_c_relevance
台灣大哥大股份有限公司,D533 會員數據分析師,"['針對應用資料庫中，會員以及內容數據進行分析，並提出行銷推廣及內容採購建議，包括', '1. 消費者行為分析', '(1) 針對會員推廣及行銷等不同議題，對資料數據進行分析；同時有與系統人員討論及釐清需求的能力', '(2) 分析資料彙整、提出行銷推廣及營運建議，以']",台北市信義區,2年以上,大學,"月薪31,000~53,000元",www.104.com.tw/job/7aidk?jobsource=jolist_c_relevance
遠東集團HAPPY GO_鼎鼎聯合行銷股份有限公司,會員數據分析師,"['1.分析數位會員的使用行為及消費數據，提出數據洞察，以鞏固會員關係及黏著度.', '2.針對行銷活動、內外部環境，分析會員偏好，提出預測及活動優化建議.', '3.以視覺化方式呈現數據洞察，協助行銷人員提升運營效能.', '', '', '', '', '', '']",新北市板橋區,2年以上,大學,"月薪40,000元以上",www.104.com.tw/job/7aeda?jobsource=jolist_c_relevance
美廉社_三商家購股份有限公司,三商家購-總公司-資料工程師/數據分析師 A01,"['1.使用者需求訪談、分析、規劃及整合 ', '2.公司決策經營、行銷策略與通路銷售資訊分析 ', '3.資料市集(Data Mart)規劃、資料清理(ETL)程式開發與商業智慧(BI)建置 ', '']",台北市中山區,4年以上,大學,待遇面議,www.104.com.tw/job/6xrat?jobsource=jolist_c_relevance
百商數位科技股份有限公司,行銷數據分析師,"['1.數據相關專案規劃與執行。', '2.搜集追蹤相關專案數據，維持數據來源品質及穩定性 ', '2.執行數據分析專案與任務，提供報表或簡報產出 ', '3.利用與建立分析數據指標並發掘問題，提供各單位營運上分析觀察與建議 ', '4.利數據驅動的方式發展出貼近行銷需求的']",台北市大安區,2年以上,專科,待遇面議,www.104.com.tw/job/7aipl?jobsource=jolist_c_relevance
集邦科技股份有限公司_TRENDFORCE,數據分析師,"['1.協助分析師資料收集&整理\r', '2.數據資料庫建立以及管理\r', '3.研究報告資料美編/排版、校對以及寄送\r', '4.總體經濟、市場與財務報表資料收集\r', '5.跨部門業務支援、協調\r', '6.部門基本庶務協助']",台北市中山區,經歷不拘,專科,"月薪28,000~35,000元",www.104.com.tw/job/6z1o9?jobsource=jolist_c_relevance
英屬開曼群島商雲數位智能行銷有限公司台灣分公司,Google Analytics 資深數據分析師,"['【必備條件】', '1. 熟悉Google Analytics 介面與數據指標(含EEC)，具有1年以上使用經驗。', '2. 具備數位行銷、流量分析、數據洞察應用能力，1年以上經驗。', '3. 具備Google Ads 全認證、GAIQ認證。', '4. 了解廣告媒']",台北市信義區,3年以上,大學,待遇面議,www.104.com.tw/job/71baz?jobsource=jolist_c_relevance
歌倫比亞美語顧問_康仕坦實業股份有限公司,數據分析師,"['1.深入了解運營，分析內外部資料，提供分析報告，協同各個部門，執行數據驅動決策', '2.整理與收集數據，規劃部門運營所需報表', '3.協助公司數據分析與工具的教育訓練和推廣', '']",台中市南區,2年以上,大學,待遇面議,www.104.com.tw/job/78bew?jobsource=jolist_c_relevance
影響力數據顧問股份有限公司,輿情大數據分析師,"['1.透過網路輿情大數據系統，研究輿情的趨勢變化。', '2.透過輿情系統，從數據中解讀企業、組織面臨的風險與機會。', '3.熟悉主要網路新聞、論壇、社群、影音平台，平時是社群媒介重度涉入者。', '4.具備公共政策議題研究的基礎知識。', '5.邏輯清楚，思考細膩，良']",台北市松山區,2年以上,大學,"月薪35,000~55,000元",www.104.com.tw/job/6yaz0?jobsource=jolist_b_relevance
聽儷科技股份有限公司,Data Analyst (數據分析師),"['  能力需求', '', '•\t作為數據分析師或相關領域的工作經驗1年以上工作經驗，或相關領域碩士學歷', '•\t具備優秀的溝通意識，良好的現場表達能力、邏輯清晰', '•\t具備溝通能力，能把事情表達清楚，樂意與人共事與溝通', '•\t熟悉數據平台的整體搭建，熟練使用 SQL /']",台北市中正區,1年以上,專科,"月薪33,000~48,000元",www.104.com.tw/job/7a7nd?jobsource=jolist_b_relevance
凡谷興業有限公司,數據分析師,"['1.發現問題、發揮數據價值為導向，能深入理解內部需求與痛點，確定問題與目標，並給予有效的數據解決方案。', '2.協助內部完成多維度指標體系的梳理和建設，並能完成數據管理、分析與應用全流程工作，必要時需要跨部門合作。', '3.對於數據與分析具有熱情。調動公']",台中市南屯區,經歷不拘,大學,待遇面議,www.104.com.tw/job/79nah?jobsource=jolist_b_relevance
